"","imdbID","Director","Metascore","imdbRating","imdbVotes","BoxOffice"
"319","tt0130444","Max Färberböck","72",7.2,6664,"$927,107"
"320","tt0099005","Roger Spottiswoode","33",5.8,29114,"$31,053,601"
"321","tt0118570","Charles Martin Smith","N/A",5.2,18231,"$23,144,499"
"322","tt1371630","Hirokazu Koreeda","65",6.9,7313,"N/A"
"323","tt0118571","Wolfgang Petersen","61",6.5,197651,"$172,956,409"
"324","tt0109068","Michael Lehmann","46",6.1,52440,"$5,751,882"
"325","tt0080339","Jim Abrahams, David Zucker, Jerry Zucker","78",7.7,240675,"$83,453,539"
"326","tt0065377","George Seaton, Henry Hathaway","42",6.6,19460,"$100,489,151"
"327","tt0071110","Jack Smight","50",5.7,10774,"N/A"
"328","tt1077262","Scandar Copti, Yaron Shani","82",7.3,6268,"$622,403"
"329","tt0437800","Doug Atchison","72",7.3,20294,"$18,848,430"
"330","tt0094625","Katsuhiro Ôtomo","67",8,187105,"$553,171"
"331","tt0103639","Ron Clements, John Musker","86",8,420013,"$217,350,219"
"332","tt0115491","Tad Stones","N/A",6.4,33562,"N/A"
"333","tt0469021","Declan Lowney","66",6.9,31963,"$153,426"
"334","tt1541149","Niall MacCormick","42",6.3,5433,"N/A"
"335","tt1602098","Rodrigo García","57",6.7,24816,"$3,014,696"
"336","tt1050001","Joe Anderson","N/A",3.8,1528,"N/A"
"337","tt2977090","Chris Messina","56",5.8,3289,"N/A"
"338","tt0346491","Oliver Stone","39",5.6,170695,"$34,297,191"
"339","tt1698641","Miguel Arteta","54",6.2,44678,"$66,954,149"
"340","tt0060086","Lewis Gilbert","70",7,14871,"N/A"
"341","tt0284837","Mark Mylod","46",6.2,91913,"N/A"
"342","tt0071141","Rainer Werner Fassbinder","N/A",8,21786,"$8,144"
"343","tt0099012","Woody Allen","67",6.6,14504,"$7,331,647"
"344","tt1461312","N/A","N/A",7.2,9536,NA
"345","tt0064002","Arthur Penn","N/A",6.2,4454,"$13,991,240"
"346","tt0071115","Martin Scorsese","78",7.3,24250,"$18,600,000"
"347","tt0043274","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","68",7.4,143128,"N/A"
"348","tt1014759","Tim Burton","53",6.4,416622,"$334,191,110"
"349","tt0023753","Norman Z. McLeod, Hugh Harman, Rudolf Ising","54",6.3,2306,"N/A"
"350","tt2567026","James Bobin","34",6.2,109905,"$77,041,381"
"351","tt0078748","Ridley Scott","89",8.5,880228,"$81,900,459"
"352","tt0094631","Graham Baker","45",6.3,15880,"$25,216,243"
"353","tt1942798","Jeff Burr","N/A",3.1,1135,"N/A"
"354","tt2316204","Ridley Scott","65",6.4,282401,"$74,262,031"
"355","tt0118583","Jean-Pierre Jeunet","63",6.2,249071,"$47,795,658"
"356","tt0103644","David Fincher","59",6.4,301855,"$55,473,545"
"357","tt0090605","James Cameron","84",8.4,716518,"$85,160,248"
"358","tt0775552","John Schultz","42",5.4,22641,"$25,200,412"
"359","tt0758730","Colin Strause, Greg Strause","29",4.6,127169,"$41,797,066"
"360","tt0042192","Joseph L. Mankiewicz","98",8.2,132038,"$63,463"
"361","tt1307858","Joshua Grannell","N/A",6,1706,"$7,995"
"362","tt0185125","Pedro Almodóvar","87",7.8,97534,"$8,344,738"
"363","tt0881891","Phil Traill","17",4.8,42471,"$33,862,903"
"364","tt2527186","Lucky McKee, Chris Sivertson","45",5.1,9102,"N/A"
"365","tt0096787","Don Bluth, Gary Goldman, Dan Kuenster","50",6.7,42592,"$27,100,027"
"366","tt1666185","Benny Boom","38",5.8,23500,"$44,922,302"
"367","tt0120692","Sarah Kernochan","60",6.6,7255,"$913,834"
"368","tt2017038","J.C. Chandor","87",6.9,80984,"$6,263,670"
"369","tt0086873","Carl Reiner","68",6.6,18804,"$36,403,064"
"370","tt0286261","Mike Leigh","72",7.5,10870,"$201,546"
"371","tt0020629","Lewis Milestone","91",8.1,62939,"N/A"
"372","tt1836212","Jason Trost","N/A",3.9,2247,"N/A"
"373","tt0047811","Douglas Sirk","N/A",NA,15117,"N/A"
"374","tt0078754","Bob Fosse","72",7.8,32471,"$37,823,676"
"375","tt0411098","Mehdi Charef, Emir Kusturica, Spike Lee","N/A",7.4,4144,"N/A"
"376","tt0041113","Robert Rossen","N/A",7.4,15299,"N/A"
"377","tt0405676","Steven Zaillian","37",6.1,24850,"$7,221,458"
"378","tt0074119","Alan J. Pakula","84",7.9,116701,"$70,600,000"
"379","tt0069095","Giuseppe Colizzi","N/A",6.6,7026,"N/A"
"380","tt0032194","Anatole Litvak","N/A",7.4,4998,"N/A"
"381","tt1674057","Stéphane Robelin","57",6.7,2962,"$43,180"
"382","tt3410834","Robert Schwentke","33",5.7,123504,"$66,184,051"
"383","tt0074121","Bruno Bozzetto","N/A",7.4,3008,"N/A"
"384","tt0217990","Rod Daniel","N/A",6,2394,"N/A"
"385","tt3640424","Robert Zemeckis","60",7.1,158444,"$40,098,064"
"386","tt1630027","Yasemin Samdereli","N/A",7.1,7016,"N/A"
"387","tt4649416","David E. Talbert","55",6.1,6976,"$42,158,780"
"388","tt0181875","Cameron Crowe","90",7.9,277395,"$32,534,850"
"389","tt3480446","Tom DeNucci","N/A",5.9,1119,"N/A"
