"","title","rating","year","id","imdbid","titleId","averageRating","numVotes"
"250","Animal Crackers",3,1930,8463,"0020640","tt0020640",7.4,14641
"251","M",3,1931,610,"0022100","tt0022100",8.3,158965
"252","M&auml;dchen in Uniform",3,1931,628,"0022183","tt0022183",7.6,3226
"253","Night Nurse",3,1931,636,"0022208","tt0022208",7,3959
"254","Frankenstein",1,1931,1317,"0021884","tt0021884",7.8,74181
"255","Anna Christie",3,1931,1327,"0020642","tt0020642",7,910
"256","Mata Hari",3,1931,1333,"0023196","tt0023196",6.6,3767
"257","Tabu: A Story of the South Seas",0,1931,1633,"0022458","tt0022458",7.4,5991
"258","Indiscreet",3,1931,1828,"0022000","tt0022000",6.2,1475
"259","Last Flight, The",0,1931,1956,"0022054","tt0022054",6.9,1352
"260","Pardon Us",0,1931,1974,"0022251","tt0022251",6.8,2623
"261","Dracula",2,1931,1985,"0021814","tt0021814",7.4,53908
"262","Monkey Business",1,1931,2384,"0022158","tt0022158",7.4,13727
"263","City Lights",3,1931,2705,"0021749","tt0021749",8.5,185539
"264","Smiling Lieutenant, The",2,1931,4243,"0022074","tt0022074",7.2,3849
"265","Cheat, The",3,1931,5741,"0021735","tt0021735",6.3,681
"266","Public Enemy, The",3,1931,5934,"0022286","tt0022286",7.6,21543
"267","La Chienne",3,1931,6030,"0021739","tt0021739",7.6,4443
"268","A Nous la Liberte",1,1931,6031,"0022599","tt0022599",7.4,4682
"269","Little Caesar",1,1931,6043,"0021079","tt0021079",7.2,13549
"270","Skin Game, The",3,1931,7294,"0022395","tt0022395",5.7,3292
"271","Rich and Strange [East of Shanghai]",2,1931,7296,"0023395","tt0023395",5.7,4501
"272","Dracula",3,1931,8213,"0021815","tt0021815",7.1,4771
"273","Cimarron",3,1931,8467,"0021746","tt0021746",5.8,6321
"274","Hyppolit a lakaj",1,1931,8557,"0021985","tt0021985",7.7,1618
"275","Skippy",3,1931,9095,"0022397","tt0022397",6.3,840
"276","Champ, The",1,1931,9110,"0021730","tt0021730",7.3,3294
"277","I Am a Fugitive from a Chain Gang",1,1932,1318,"0023042","tt0023042",8.2,13486
"278","Grand Hotel",3,1932,1328,"0022958","tt0022958",7.3,19650
"279","Age of Consent, The",2,1932,1983,"0022614","tt0022614",6,382
"280","Horse Feathers",1,1932,2383,"0023027","tt0023027",7.5,12840
"281","White Zombie",0,1932,2550,"0023694","tt0023694",6.3,10848
"282","Boudu Saved from Drowning",1,1932,2767,"0022718","tt0022718",7.3,5869
"283","I Was Born, But...",1,1932,3530,"0023634","tt0023634",7.9,5724
"284","Most Dangerous Game, The",0,1932,3658,"0023238","tt0023238",7.1,12782
