"Combined","YearOfLaunch","Segment","Trim_Count","AVG_MSRP_CAD","MSRP_Range_CAD","StdDev_MSRP_CAD","Error.MSRP_CAD"
"2000 Mercedes-Benz CLK-Class",1999,NA,4,68340,18500,7603.67235836299,3801.83617918149
"2000 Mercedes-Benz E-Class",1999,NA,7,75800.7142857143,31700,10914.2763649923,4125.20871457136
"2000 Mercedes-Benz M-Class",1999,NA,4,63340,42500,18832.8392265567,9416.41961327836
"2000 Mercedes-Benz S-Class",1999,NA,3,101448.333333333,20400,10433.2800850611,6023.65706564081
"2000 Mercedes-Benz SL-Class",1999,NA,2,142765,52500,37123.1060122937,26250
"2000 Mercedes-Benz SLK-Class",1999,NA,2,57915,0,0,0
"2000 Mercury Cougar",1999,NA,3,22348.3333333333,3000,1517.67365837763,876.229295206328
"2000 Mercury Grand Marquis",1999,NA,2,34815,1400,989.949493661167,700
"2000 Nissan Altima",1999,NA,7,24186.4285714286,8600,3196.20310457804,1208.05122205229
"2000 Nissan Frontier",1999,NA,14,26100.7142857143,12000,3571.43736262654,954.506784948003
"2000 Nissan Maxima",1999,NA,7,33429.2857142857,7600,2915.72093510826,1102.03892668016
"2000 Nissan Pathfinder",1999,NA,5,37135,8200,3170.48892128643,1417.88574998129
"2000 Nissan Quest",1999,NA,2,32015,3000,2121.32034355964,1500
"2000 Nissan Xterra",1999,NA,2,29615,1200,848.528137423857,600
"2000 Oldsmobile Alero",1999,NA,12,23531.6666666667,6800,2317.06449603542,668.878905257887
"2000 Oldsmobile Intrigue",1999,NA,3,29815,5000,2553.42906696074,1474.2229591664
"2000 Oldsmobile Silhouette",1999,NA,3,35648.3333333333,9000,4500.37035513005,2598.29003598734
"2000 Plymouth Prowler",1999,NA,1,61015,0,NA,NA
"2000 Pontiac Bonneville",1999,NA,3,36448.3333333333,11300,5662.44941110588,3269.21669177462
"2000 Pontiac Firebird",1999,NA,8,34790,13500,4934.06526101956,1744.45550244195
"2000 Pontiac Firefly",1999,NA,5,12335,1600,653.452370108182,292.232783924049
"2000 Pontiac Grand Am",1999,NA,20,24285,6800,2084.55472968513,466.120607839464
"2000 Pontiac Grand Prix",1999,NA,6,28765,5800,2398.95810717903,979.370546150264
"2000 Pontiac Montana",1999,NA,5,31215,9900,3613.17035302793,1615.85890473147
"2000 Pontiac Sunfire",1999,NA,12,19748.3333333333,13000,4682.72130153811,1351.78520199151
"2000 Saab 44807",1999,NA,13,46453.4615384615,30000,10421.175434465,2890.31402919765
"2000 Saab 44809",1999,NA,9,47470.5555555556,14500,5391.68598657023,1797.22866219008
"2000 Saturn LS",1999,NA,5,22035,6800,2612.85284698546,1168.50331621267
"2000 Saturn LW",1999,NA,2,26115,3400,2404.16305603426,1700
"2000 Saturn SC",1999,NA,8,19915,6400,2431.93045013333,859.817256331666
"2000 Saturn SL",1999,NA,9,16748.3333333333,6000,1995.62020434751,665.206734782504
"2000 Saturn SW",1999,NA,4,19965,2300,946.924847422786,473.462423711393
"2000 Subaru Forester",1999,NA,10,30335,7700,2518.28866053472,796.352797306431
"2000 Subaru Impreza",1999,NA,10,24255,10200,3684.26081837019,1165.06556801657
"2000 Subaru Legacy",1999,NA,13,30138.0769230769,12700,3941.6903831888,1093.22821450696
"2000 Suzuki Esteem",1999,NA,7,17629.2857142857,4800,1837.05250462852,694.340581802198
"2000 Suzuki Grand Vitara",1999,NA,5,27135,6600,2568.46257516048,1148.6513831446
"2000 Suzuki Swift",1999,NA,2,12165,1100,777.817459305202,550
"2000 Suzuki Vitara",1999,NA,8,21340,5100,1629.85538359346,576.240897046167
"2000 Toyota 4Runner",1999,NA,3,40848.3333333333,11200,6149.25469738678,3550.27385485183
"2000 Toyota Avalon",1999,NA,2,40615,7200,5091.16882454314,3600
"2000 Toyota Camry",1999,NA,5,27495,7600,3015.2943471575,1348.48062648301
"2000 Toyota Camry Solara",1999,NA,4,31865,12400,5221.43019998672,2610.71509999336
"2000 Toyota Celica",1999,NA,4,28315,8500,4418.89880701818,2209.44940350909
"2000 Toyota Corolla",1999,NA,5,17655,5000,1904.73095212946,851.821577561874
"2000 Toyota Echo",1999,NA,4,14515,1400,621.825270205921,310.912635102961
"2000 Toyota RAV4",1999,NA,3,24948.3333333333,1600,850.490054811538,491.030662088541
"2000 Toyota Sienna",1999,NA,3,29415,4100,2066.39783197718,1193.03534454489
"2000 Toyota Tacoma",1999,NA,10,24455,14400,5027.74524237478,1589.91264609796
"2000 Toyota Tundra",1999,NA,5,30995,12100,4889.47849979934,2186.641260015
"2000 Volkswagen Beetle",1999,NA,10,25485,8200,2772.10309251939,876.615968115774
"2000 Volkswagen Cabrio",1999,NA,4,31965,5700,2730.68977854803,1365.34488927401
"2000 Volkswagen EuroVan",1999,NA,2,47165,2300,1626.34559672906,1150
"2000 Volkswagen Golf",1999,NA,8,21790,5400,1770.99649108308,626.141814151212
"2000 Volkswagen Golf GTI",1999,NA,3,26815,6200,3143.24672910034,1814.75434517549
"2000 Volkswagen Jetta",1999,NA,12,25831.6666666667,12600,3884.42889995272,1121.33803551783
"2000 Volkswagen Passat",1999,NA,12,34481.6666666667,11200,3883.14149610697,1120.96639403938
"2000 Volvo C70",1999,NA,6,58981.6666666667,16200,5902.42887857759,2409.65649926384
"2000 Volvo S70",1999,NA,8,40640,9400,3658.94207973523,1293.63137827479
"2000 Volvo S80",1999,NA,2,53515,5000,3535.53390593274,2500
"2000 Volvo V70",1999,NA,7,43315,19300,7022.58262085016,2654.28673945339
"2001 Acura CL",2000,NA,1,40015,0,NA,NA
"2001 Acura EL",2000,NA,4,23015,3000,1290.99444873581,645.497224367903
"2001 Acura Integra",2000,NA,5,25715,6000,2588.43582110896,1157.58369027902
"2001 Acura MDX",2000,NA,1,47015,0,NA,NA
"2001 Acura RL",2000,NA,1,53015,0,NA,NA
"2001 Acura TL",2000,NA,1,36015,0,NA,NA
"2001 Audi A4",2000,NA,7,38872.1428571429,10400,3998.6902617637,1511.36285751464
"2001 Audi A6",2000,NA,9,56659.4444444444,21000,6134.14849655417,2044.71616551806
"2001 Audi A8",2000,NA,2,91515,10000,7071.06781186548,5000
"2001 Audi allroad",2000,NA,2,61565,1300,919.238815542512,650
"2001 Audi S3",2000,NA,1,57215,0,NA,NA
"2001 Audi S4",2000,NA,1,57215,0,NA,NA
"2001 Audi S8",2000,NA,1,102515,0,NA,NA
"2001 Audi TT",2000,NA,7,53972.1428571429,9000,3817.00455979867,1442.69211691812
"2001 BMW 3 Series",2000,NA,18,46292.7777777778,30100,8404.02953459236,1980.84875773409
"2001 BMW 5 Series",2000,NA,9,63959.4444444444,21500,8668.92598755911,2889.64199585304
"2001 BMW 7 Series",2000,NA,3,107148.333333333,48000,26633.3124739176,15376.7501262277
"2001 BMW M3",2000,NA,2,74715,9800,6929.64645562817,4900
"2001 BMW M5",2000,NA,1,102615,0,NA,NA
"2001 BMW X5",2000,NA,3,62048.3333333333,10000,5773.50269189626,3333.33333333333
"2001 BMW Z3",2000,NA,5,55095,21000,8436.34992161895,3772.850381343
"2001 BMW Z8",2000,NA,1,189915,0,NA,NA
"2001 Buick Century",2000,NA,2,26915,3400,2404.16305603426,1700
"2001 Buick LeSabre",2000,NA,2,34465,4500,3181.98051533946,2250
"2001 Buick Park Avenue",2000,NA,2,45765,5500,3889.08729652601,2750
"2001 Buick Regal",2000,NA,2,30715,3600,2545.58441227157,1800
"2001 Cadillac Catera",2000,NA,1,42515,0,NA,NA
"2001 Cadillac DeVille",2000,NA,5,57095,10100,4351.66634750414,1946.12435368349
"2001 Cadillac Eldorado",2000,NA,1,56615,0,NA,NA
"2001 Cadillac Seville",2000,NA,2,62465,7500,5303.30085889911,3750
"2001 Chevrolet Astro Cargo Van",2000,NA,2,26165,2900,2050.60966544099,1450
"2001 Chevrolet Astro Passenger",2000,NA,6,30515,9000,3292.41552663087,1344.12301024373
"2001 Chevrolet Blazer",2000,NA,10,35675,12000,4129.62198969564,1305.90113629546
"2001 Chevrolet C 3500",2000,NA,7,34143.5714285714,6200,2195.23293047631,829.720057699981
"2001 Chevrolet Camaro",2000,NA,6,31681.6666666667,12900,5694.79294326551,2324.88948363382
"2001 Chevrolet Cavalier",2000,NA,9,18392.7777777778,8000,2726.15928449613,908.71976149871
"2001 Chevrolet Corvette",2000,NA,5,65955,8300,3752.73233791061,1678.27292178596
"2001 Chevrolet Express",2000,NA,33,28811.9696969697,5900,1716.00641907396,298.718375037326
"2001 Chevrolet Express Cargo Van",2000,NA,17,28515,7800,2345.47436566678,568.86109128369
"2001 Chevrolet Express Cutaway",2000,NA,1,31615,0,NA,NA
"2001 Chevrolet Express Passenger",2000,NA,26,34822.6923076923,18000,4185.87367959647,820.917368219108
"2001 Chevrolet Express RV Cutaway",2000,NA,8,28652.5,3500,1062.25837588736,375.565050481081
"2001 Chevrolet Impala",2000,NA,6,27081.6666666667,4200,1474.67510546109,602.033590794106
"2001 Chevrolet Malibu",2000,NA,2,23615,2200,1555.6349186104,1100
"2001 Chevrolet Monte Carlo",2000,NA,2,27565,2700,1909.18830920368,1350
"2001 Chevrolet S-10",2000,NA,28,20607.8571428571,9400,2519.10162873057,476.065459779918
"2001 Chevrolet Silverado 1500",2000,NA,80,30425,21400,4895.4021311141,547.322597118423
"2001 Chevrolet Silverado 2500",2000,NA,63,35554.6825396825,24700,5387.45674879846,678.755750306538
"2001 Chevrolet Silverado 2500HD",2000,NA,144,38330.2777777778,24500,5134.84353258384,427.90362771532
"2001 Chevrolet Silverado 3500",2000,NA,263,37650.7414448669,25100,5118.4235520407,315.61551703533
