"VIN","make","model","model_year","fuel_type","GVWR"
"jn8as5mv9ew714932","NISSAN","Rogue Select","2014","Gasoline","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
"jf1gv7e60eg004057","SUBARU","Impreza","2014","",""
"3gnal2ek2ds576342","CHEVROLET","Captiva Sport","2013","Gasoline","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
"3gnal2ek6ds556627","CHEVROLET","Captiva Sport","2013","Gasoline","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
"2c4rc1cg5dr779646","CHRYSLER","Town and Country","2013","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"2c4rc1cg6dr779641","CHRYSLER","Town and Country","2013","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"2c4rc1bg9dr743699","CHRYSLER","Town and Country","2013","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"2c4rc1bg2dr650829","CHRYSLER","Town and Country","2013","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"2c4rc1bg2dr604109","CHRYSLER","Town and Country","2013","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"1ftne2ew1dda25536","FORD","E-250","2013","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1ftne1ew9dda14195","FORD","E-150","2013","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1ftne1ew3dda97929","FORD","E-150","2013","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1ftne2ewxdda82950","FORD","E-250","2013","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1fbss3bl6dda73971","FORD","E-350","2013","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1fbne3bl6ddb06374","FORD","E-350","2013","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1ft7w2b66deb02177","FORD","F-250","2013","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1ft7w2bt9dea97398","FORD","F-250","2013","Diesel","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1ft7w2btxdea03416","FORD","F-250","2013","Diesel","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1fadp3l92dl221750","FORD","Focus","2013","Gasoline",""
"3fa6p0lu3dr374537","FORD","Fusion","2013","Gasoline",""
"kmhfh4jgxda225320","HYUNDAI","Azera","2013","Gasoline",""
"kmhfh4jg7da221824","HYUNDAI","Azera","2013","Gasoline",""
"kmhfg4jg5da226622","HYUNDAI","Azera","2013","Gasoline",""
"kmhdh6ae5du009472","HYUNDAI","Elantra","2013","Gasoline",""
"kmhdh6ae3du009163","HYUNDAI","Elantra","2013","Gasoline",""
"kmhht6kd9du096587","HYUNDAI","Genesis Coupe","2013","Gasoline",""
"jn8cs1mw3dm173218","INFINITI","FX37","2013","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jn1cv6ar9dm757401","INFINITI","G37","2013","Gasoline",""
"jn1cv6ar7dm750284","INFINITI","G37","2013","Gasoline",""
"jn1cv6ar9dm351005","INFINITI","G37","2013","Gasoline",""
"jn1cv6ar4dm758455","INFINITI","G37","2013","Gasoline",""
"jn1cv6ar8dm753498","INFINITI","G37","2013","Gasoline",""
"jn1cv6ar4dm755720","INFINITI","G37","2013","Gasoline",""
"jn1cv6ar1dm756369","INFINITI","G37","2013","Gasoline",""
"jn1cv6el9dm950444","INFINITI","G37","2013","Gasoline",""
"jn1cv6ar5dm756553","INFINITI","G37","2013","Gasoline",""
"jn1cv6ar3dm759533","INFINITI","G37","2013","Gasoline",""
"jn1cv6ar3dm753974","INFINITI","G37","2013","Gasoline",""
"jn1cv6ar9dm350971","INFINITI","G37","2013","Gasoline",""
"jn1cv6ar8dm751203","INFINITI","G37","2013","Gasoline",""
"jn1cv6ar5dm751756","INFINITI","G37","2013","Gasoline",""
"5n1al0mn2dc336461","INFINITI","JX35","2013","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jthbw1ggxd2033161","LEXUS","ES","2013","Gasoline",""
"jthbe5c29d5031873","LEXUS","IS","2013","Gasoline",""
"jthbe1bl5d5012014","LEXUS","GS","2013","Gasoline",""
"2t2zk1ba6dc098679","LEXUS","RX","2013","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jthbe1bl9d5026529","LEXUS","GS","2013","Gasoline",""
"wmwsu3c52dt547858","MINI","Hardtop","2013","Gasoline","Class 1: 6,000 lb or less (2,722 kg or less)"
"wmwsv3c56dt478556","MINI","Hardtop","2013","Gasoline","Class 1: 6,000 lb or less (2,722 kg or less)"
"wp0ca2a83ds114188","PORSCHE","Boxster","2013","Gasoline","Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)"
"5yjsa1cp2dfp10044","TESLA","Model S","2013","Electric",""
"jtmhy7aj9d4017714","TOYOTA","Land Cruiser","2013","Gasoline","Class 2: 6,001 - 10,000 lb (2,722 - 4,536 kg)"
"1g1yb3d75e5122104","CHEVROLET","Corvette","2014","Gasoline",""
"1g1yl2d72e5105669","CHEVROLET","Corvette","2014","Gasoline",""
"1fbss3bl7cda58247","FORD","E-350","2012","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1fbss3bl0cda58235","FORD","E-350","2012","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"1fbss3blxcda58243","FORD","E-350","2012","Gasoline","Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)"
"jn1dv6ar5cm861421","INFINITI","G25","2012","Gasoline",""
"jn1dv6ar1cm862582","INFINITI","G25","2012","Gasoline",""
"jn1aj0hr8cm450631","INFINITI","EX35","2012","Gasoline",""
